flight_number,name,launch_year,success,class,rocket,payloads,launchpad
99,Starlink-9 (v1.0) & BlackSky Global 5-6,2020,True,1,5e9d0d95eda69973a809d1ec,"['5ed9858b1f30554030d45c3e', '5ee522e32f1f3d474c758123']",5e9e4502f509094188566f88
100,Starlink-10 (v1.0) & SkySat 19-21,2020,True,1,5e9d0d95eda69973a809d1ec,['5ed9859f1f30554030d45c3f'],5e9e4501f509094ba4566f84
101,"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d1b6c3bb0006eeb259'],5e9e4501f509094ba4566f84
102,Starlink-11 (v1.0),2020,True,1,5e9d0d95eda69973a809d1ec,['5ef6a4600059c33cee4a829e'],5e9e4502f509094188566f88
103,Starlink-12 (v1.0),2020,True,1,5e9d0d95eda69973a809d1ec,['5ef6a48e0059c33cee4a829f'],5e9e4502f509094188566f88
104,Starlink-13 (v1.0),2020,True,1,5e9d0d95eda69973a809d1ec,['5ef6a4d50059c33cee4a82a1'],5e9e4502f509094188566f88
105,Starlink-14 (v1.0),2020,True,1,5e9d0d95eda69973a809d1ec,['5ef6a4ea0059c33cee4a82a2'],5e9e4501f509094ba4566f84
106,GPS III SV04 (Sacagawea),2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d2b6c3bb0006eeb25e'],5e9e4501f509094ba4566f84
107,Crew-1,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d2b6c3bb0006eeb25f'],5e9e4502f509094188566f88
108,Sentinel-6 Michael Freilich,2020,True,1,5e9d0d95eda69973a809d1ec,['5ed9867c1f30554030d45c40'],5e9e4502f509092b78566f87
109,Starlink-15 (v1.0),2020,True,1,5e9d0d95eda69973a809d1ec,['5fb95c263a88ae63c9546044'],5e9e4501f509094ba4566f84
110,CRS-21,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d3b6c3bb0006eeb262'],5e9e4502f509094188566f88
111,SXM-7,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d2b6c3bb0006eeb25d'],5e9e4501f509094ba4566f84
112,NROL-108,2020,True,1,5e9d0d95eda69973a809d1ec,['5f839ac7818d8b59f5740d48'],5e9e4502f509094188566f88
113,Turksat 5A,2021,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d3b6c3bb0006eeb264'],5e9e4501f509094ba4566f84
